Team_ID,Season,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%
12,2019/20,"20,059",527.87,84%,635,20%
12,2018/19,"19,202",492.36,82%,638,20%
12,2017/18,"20,064",528.00,84%,753,20%
12,2016/17,"20,247",532.82,84%,848,24%
12,2015/16,"20,070",528.16,82%,786,19%
12,2014/15,"21,311",560.82,85%,908,22%
23,2023/24,"18,233",479.82,83%,648,27%
23,2022/23,"16,052",422.42,80%,740,29%
23,2021/22,"12,503",329.03,75%,592,25%
23,2020/21,"13,116",345.16,76%,652,24%
23,2019/20,"13,066",343.84,75%,591,22%
23,2018/19,"13,490",355.00,73%,711,24%
23,2017/18,"14,028",369.16,72%,616,22%
23,2015/16,"15,118",397.84,77%,775,23%
23,2014/15,"15,019",395.24,77%,864,19%
15,2023/24,"14,170",372.89,79%,595,22%
15,2022/23,"12,091",326.78,72%,532,20%
18,2023/24,"12,218",321.53,72%,428,25%
18,2020/21,"14,647",385.45,77%,666,20%
18,2019/20,"14,922",392.68,74%,866,22%
21,2023/24,"22,488",591.79,87%,710,19%
21,2022/23,"18,042",474.79,83%,719,26%
21,2021/22,"19,165",504.34,85%,632,24%
21,2020/21,"19,070",501.84,82%,526,22%
21,2019/20,"18,644",490.63,81%,641,17%
21,2018/19,"21,295",560.39,83%,643,26%
21,2017/18,"21,660",570.00,84%,825,20%
21,2016/17,"20,153",530.34,82%,761,20%
21,2015/16,"18,649",490.76,80%,738,21%
21,2014/15,"19,322",508.47,81%,742,20%
25,2023/24,"14,732",387.68,79%,661,24%
25,2022/23,"14,638",385.21,78%,768,21%
25,2021/22,"16,579",436.29,81%,802,20%
25,2020/21,"15,152",398.74,78%,775,24%
25,2019/20,"15,101",397.39,76%,737,24%
25,2018/19,"16,358",430.47,79%,630,24%
25,2017/18,"14,369",378.13,76%,732,20%
25,2016/17,"15,134",398.26,78%,752,25%
25,2015/16,"15,031",395.55,78%,805,27%
25,2014/15,"13,568",357.05,75%,968,22%
38,2023/24,"17,636",464.11,82%,578,24%
38,2022/23,"16,712",439.79,81%,661,24%
38,2021/22,"17,517",460.97,81%,587,23%
38,2020/21,"17,522",461.11,83%,775,22%
38,2019/20,"16,764",441.16,79%,718,25%
38,2018/19,"16,618",437.32,78%,622,25%
26,2022/23,"17,365",456.97,80%,496,24%
26,2021/22,"18,578",488.89,82%,556,18%
26,2020/21,"19,577",515.18,82%,649,18%
26,2019/20,"19,915",524.08,83%,779,21%
26,2018/19,"17,219",453.13,79%,779,21%
26,2017/18,"15,200",400.00,75%,744,19%
26,2016/17,"13,674",359.84,70%,732,19%
26,2015/16,"13,370",351.84,71%,762,23%
26,2014/15,"13,343",351.13,71%,912,22%
9,2022/23,"15,160",398.95,75%,653,25%
9,2021/22,"16,503",434.29,78%,648,19%
9,2020/21,"18,652",490.84,81%,786,21%
20,2022/23,"14,796",389.37,77%,613,24%
20,2021/22,"15,288",402.32,77%,711,21%
20,2020/21,"17,690",465.53,79%,554,19%
20,2019/20,"15,667",412.29,73%,690,22%
20,2018/19,"14,297",376.24,74%,664,24%
20,2017/18,"17,174",451.95,77%,800,22%
20,2016/17,"18,240",480.00,81%,948,22%
20,2015/16,"15,913",418.76,78%,956,24%
20,2014/15,"18,184",478.53,80%,952,22%
33,2021/22,"13,046",343.32,73%,610,24%
33,2019/20,"14,067",360.69,74%,684,22%
33,2018/19,"15,462",406.89,76%,570,18%
33,2017/18,"15,654",411.95,76%,713,22%
33,2016/17,"14,049",369.71,74%,686,24%
14,2021/22,"14,466",380.68,77%,568,22%
14,2019/20,"17,362",456.89,80%,473,21%
14,2015/16,"14,483",381.13,74%,818,22%
36,2020/21,"12,389",326.03,72%,604,22%
36,2017/18,"13,218",347.84,72%,784,25%
36,2016/17,"11,821",311.08,70%,767,23%
36,2015/16,"12,262",322.68,70%,847,23%
36,2014/15,"14,445",380.13,75%,712,22%
46,2018/19,"10,226",269.11,64%,562,26%
159,2018/19,"15,902",418.47,76%,769,22%
159,2017/18,"14,960",393.68,74%,765,18%
45,2017/18,"15,721",413.71,78%,694,20%
45,2016/17,"16,125",424.34,79%,864,27%
45,2015/16,"18,169",478.13,81%,725,20%
45,2014/15,"17,877",470.45,82%,634,21%
42,2017/18,"12,892",339.26,72%,598,24%
42,2016/17,"14,558",383.11,75%,718,24%
42,2015/16,"16,342",430.05,79%,683,19%
42,2014/15,"15,386",404.89,77%,887,21%
41,2016/17,"15,610",410.79,77%,736,21%
41,2014/15,"14,864",391.16,76%,804,24%
13,2016/17,"15,736",414.11,77%,722,22%
29,2016/17,"12,360",325.26,73%,616,20%
29,2015/16,"12,799",336.82,71%,589,22%
29,2014/15,"14,451",380.29,76%,687,23%
